RE:FORM  요구사항 정의서,,,,,,,,,
구분,요구사항 ID,대분류,중분류,소분류,요구사항명,요구사항 상세,비고,,
비기능,REQ-NFR-S02,보안,인가,API 접근 제어,역할 기반 API 접근 제어,"- MEMBER, SELLER, ADMIN 역할 구분하여 Spring Security로 API 접근 제어
- 관리자 API는 ADMIN 역할만 접근 가능",,,
비기능,REQ-NFR-S03,보안,데이터,개인정보 보호,개인정보 암호화 및 마스킹,"- 비밀번호는 BCrypt로 암호화 저장
- 이메일, 전화번호 등 개인식별정보는 마스킹 처리하여 노출",,,
비기능,REQ-NFR-S04,보안,결제,결제 보안,결제 데이터 위변조 방지,"- Toss Payments 결제 완료 후 서버 측에서 결제 금액을 재검증
- 클라이언트 측 금액을 신뢰하지 않음",,,
비기능,REQ-NFR-S05,보안,사기,AI 사기 탐지,AI 생성 이미지 및 위험 거래 탐지,"- AI 생성 이미지로 인한 사기 매물 등록 방지 위해 업로드된 이미지를 Spring AI로 분석
- 위험도가 HIGH인 경우 관리자 검토 대상으로 자동 등록",고도화,,
비기능,REQ-NFR-A01,가용성,서버,서버 가용성,서비스 가용성 목표,"- 서비스 가용성 99% 이상 목표
- 배포 중 다운타임을 최소화하기 위해 무중단 배포 전략 적용","헬스 체크, Graceful Shutdown, 서킷 브레이커",,
비기능,REQ-NFR-A02,가용성,배치,Batch 안정성,"Batch 실패 시 재시도
 및 알림","- Spring Batch Job 실패 시 최대 3회 재시도
- 재시도 후에도 실패 시 관리자에게 알림 발송",,,
비기능,REQ-NFR-A03,가용성,중복 방지,정산 중복 방지,정산 Batch 중복 실행 방지,"- 정산 Batch는 tradeId unique 제약을 통해 중복 포인트 지급 방지
- Batch Job의 멱등성 보장",,,
비기능,REQ-NFR-M01,유지보수성,코드,레이어 구조,계층형 아키텍처 준수,"- Controller - Service - Repository 계층 구조를 준수하여 역할 분리
- 비즈니스 로직은 Service 계층에 위치",,,
비기능,REQ-NFR-M02,유지보수성,로그,로깅,애플리케이션 로그 관리,"- SLF4J + Logback을 사용하여 INFO 이상의 로그 기록
- 운영 환경에서는 ERROR 로그를 별도 파일로 분리하여 저장",,,
비기능,REQ-NFR-M03,유지보수성,예외,예외 처리,"전역 예외 처리 및 
에러 응답 표준화","- @ControllerAdvice를 활용한 전역 예외 처리기 구현
- 에러 응답은 code, message, detail 필드를 포함한 표준 형식으로 반환",,,
비기능,REQ-NFR-E01,확장성,DB,DB 확장,"PostgreSQL Extension 
기반 확장","- PostgreSQL 단일 DB에 PostGIS(위치 검색)와 PGVector(의미 검색) Extension을 적용하여 기능 확장
- 추가 DB 도입 없이 단일 DB로 통합 관리",,,
비기능,REQ-NFR-E02,확장성,결제,결제 확장,"결제 및 출금 구조 
확장성 확보",- 출금 요청 처리는 인터페이스로 추상화하여 향후 PG 지급대행 API 또는 계좌이체 API로 교체 가능한 구조로 설계,,,
비기능,REQ-NFR-E03,확장성,종목,종목 확장,종목 추가 확장성 확보,- 종목 분류는 DB 코드 테이블로 관리하여 코드 수정 없이 새로운 종목을 추가할 수 있도록 설계,스포츠 특화,,
비기능,REQ-NFR-O01,운영/배포,배포,컨테이너 배포,Docker 기반 컨테이너 배포,- 애플리케이션을 Docker 이미지로 패키징하고 Nginx를 리버스 프록시로 사용하여 배포,Docker + Nginx,,
비기능,REQ-NFR-O02,운영/배포,CI/CD,자동 배포,GitHub Actions CI/CD 파이프라인,"- main 브랜치 push 시 GitHub Actions가 자동으로 빌드, 테스트, Docker 이미지 빌드 및 서버 배포를 실행",GitHub Actions,,
비기능,REQ-NFR-O03,운영/배포,환경,환경 분리,개발·운영 환경 분리,"- application-dev.yml, application-prod.yml로 환경별 설정 분리
- 민감한 설정값(DB 비밀번호, API 키 등)은 환경 변수로 주입",,,
비기능,REQ-NFR-L01,법적/정책,약관,이용 약관,서비스 이용 약관 및 개인정보 처리 방침 동의,- 회원가입 시 이용 약관 및 개인정보 처리 방침에 대한 동의 필수,,,
비기능,REQ-NFR-L02,법적/정책,포인트,포인트 정책,포인트 법적 성격 검토,"- 출금 가능한 포인트는 금전성 잔액에 가까우므로 실제 운영 전환 시 KYC, 계좌 인증, 세무, 법적 검토 필요",* 지금은 Mock 처리로 대체 *,,
비기능,REQ-NFR-L03,법적/정책,결제,결제 정책,Toss Payments 테스트 환경 사용,"- 포트폴리오 단계에서는 Toss Payments 테스트 결제 환경 사용
- 실제 운영 전환 시 별도 계약 및 심사 필요",,,
